AA101 1530270000.000000000000 3.89750000e+04 5.39364400e+01 -1.45025405e+01
AA151 1530270000.000000000000 3.59750000e+04 4.91290035e+01 -4.04433465e+00
AA198 1530270000.000000000000 0.00000000e+00 3.97928187e+01 -7.27785907e+01
AA204 1530270000.000000000000 0.00000000e+00 4.02221208e+01 -7.33256108e+01
AA209 1530270000.000000000000 3.79750000e+04 6.08097454e+01 -2.97560077e+01
AA221 1530270000.000000000000 3.29880208e+04 5.93816744e+01 -2.15986516e+01
AA25 1530270000.000000000000 3.40000000e+04 5.49773730e+01 -2.01311679e+01
AA258 1530270000.000000000000 0.00000000e+00 3.90075410e+01 -8.61311643e+00
AA291 1530270000.000000000000 3.42280290e+04 5.29833631e+01 -2.34820306e+01
AA37 1530270000.000000000000 3.59823779e+04 4.37020337e+01 -1.85032096e+01
AA45 1530270000.000000000000 3.35455944e+04 5.20843179e+01 -2.26410013e+01
AA47 1530270000.000000000000 4.00000000e+04 5.99232790e+01 -4.16884253e+01
AA51 1530270000.000000000000 3.30000000e+04 5.22038171e+01 -2.86693458e+01
AA57 1530270000.000000000000 3.30000000e+04 5.28048801e+01 -2.43852639e+01
AA67 1530270000.000000000000 3.80000000e+04 4.39895747e+01 -2.41491282e+01
AA705 1530270000.000000000000 3.80000000e+04 5.20865742e+01 -3.04096567e+01
AA71 1530270000.000000000000 2.99801587e+04 5.57417324e+01 -4.26347108e+00
AA717 1530270000.000000000000 3.80000000e+04 5.45911721e+01 -1.71954320e+01
AA723 1530270000.000000000000 1.52453390e+04 5.36627526e+01 -6.95736636e+00
AA725 1530270000.000000000000 3.80000000e+04 5.31578826e+01 -2.91696931e+01
AA731 1530270000.000000000000 0.00000000e+00 5.14757866e+01 -4.51738429e-01
AA749 1530270000.000000000000 4.36250000e+03 4.05628252e+01 -3.58937017e+00
AA751 1530270000.000000000000 3.60000000e+04 5.41176706e+01 -4.48649308e+00
AA755 1530270000.000000000000 3.80000000e+04 5.20595455e+01 -2.36192295e+01
AA786 1530270000.000000000000 0.00000000e+00 1.27305807e+01 -7.20839156e+01
